M-Number,Count 1,Count 2,Count 3,Count 4,Count 5
M20-00275,1.8,1.8,2.49,1,1.93
M17-00992,1.45,1.5,2.29,1.12,2.5
M20-00092,1,2,2.3,1.5,2
M21-00194,2.3,2.9,2.2,1.5,2.4
M19-00241,1.75,1.95,2.51,1.6,1.9
M17-00498,1,2.25,2.1,1.6,2.9
M22-00074,1.23,1.9,2.5,1.7,1.3
M14-00504,2.25,2.6,2.2,1.7,2.2
M22-00120,1.68,3.4,3.3,1.7,2.73
M21-00164,2.05,3.3,3.2,1.9,2.3
M17-00710,1.9,2.9,1.6,1.9,2.5
M16-00200,2.15,3.4,2.44,1.9,2.5
M19-00533,1.65,3,2.8,1.9,2.6
M19-00337,2.1,3.3,2.6,1.9,3.7
M20-00276,1.4,1.4,2.11,1.99,2.8
M18-00649,2.55,2.56,1.4,2,2.6
M22-00156,1.4,2.6,3,2,3.4
M19-00284,1.95,2.3,2.7,2,4.1
M18-00652,1.15,1.76,1.9,2.1,3.1
M16-01070,1.25,1.8,2.4,2.1,3.2
M16-00368,1.7,3.1,2.4,2.1,3.4
M19-00369,1.95,2.08,2,2.2,2.65
M21-00149,1,2.84,2.8,2.3,2.78
M18-00238,2.5,2.1,1.3,2.3,3.1
M17-00011,1.95,2.4,1.7,2.3,3.4
M19-00558,2.15,2.64,2.72,2.3,4.11
M22-00075,1.45,2.87,2.7,2.4,2
M19-00396,2.55,2.7,3.1,2.4,3.3
M20-00265,2,2,3.4,2.4,3.3
M19-00333,2.15,3.2,3.1,2.4,3.91
M19-00412,1.65,2.65,3.1,2.42,3.64
M17-01108,1.15,2.65,3.2,2.47,3.51
M17-00711,1.6,3.89,1.34,2.5,3.33
M16-01129,2,2,2.6,2.5,3.5
M22-00030,2.6,2.5,3.7,2.6,2.4
M17-00667,3.05,1.76,1.98,2.6,3
M18-00028,1.25,1.1,2.56,2.6,3.1
M18-00651,2.35,3.4,1.8,2.6,3.7
M15-00991,1.55,2.8,2.6,2.66,3.09
M19-00028,2.3,2.6,3.2,2.67,2.3
M20-00218,2.25,3.7,2.3,2.7,2.7
M14-00571,2.35,3,3.4,2.7,2.7
M22-00035,1.6,2.2,2.89,2.7,2.9
M20-00203,2.75,2.1,3.4,2.7,2.9
M18-00547,1.45,1.8,1.7,2.7,3
M19-00232,1.95,3.3,2.53,2.7,3.14
M18-00168,1.55,2.9,2.9,2.7,3.3
M19-00281,1.55,2.4,1.8,2.7,3.4
M20-00255,1.75,3.67,1.8,2.7,3.4
M22-00102,2.2,3.4,3.1,2.7,3.5
M22-00103,2,2.6,2.7,2.7,3.89
M22-00028,2.3,2.1,2.1,2.8,1.7
M18-00591,1.4,2.48,1.5,2.8,2.7
M18-00577,1.15,2.4,2.6,2.8,2.9
M22-00138,1.8,2.1,3,2.8,3.71
M16-00829,2.35,2.9,1.78,2.84,3.31
M19-00408,2.15,1.9,2.4,2.9,2
M16-01142,1.65,2.1,1.8,2.9,2.5
M16-01229,2.65,2.65,2.2,2.9,3.3
M18-00374,1.95,2,2.4,2.9,3.6
M22-00129,1.3,3.2,3.3,2.9,3.8
M20-00215,1.35,2.2,2.3,2.96,3
M19-00113,2.55,2.45,3.07,3,3.3
M15-00531,1.3,2.75,2.8,3,3.4
M22-00157,1.81,3.3,3,3,3.48
M21-00037,1.85,2.87,3,3,3.6
M20-00206,1.75,1.7,2.5,3,3.9
M17-00093,1.95,1.6,1.8,3.1,2.1
M21-00131,1.82,3.29,3.2,3.1,3.89
M22-00130,1,1.2,2.8,3.16,4.1
M17-00624,1.75,2.5,1.9,3.2,2.2
M20-00220,1.95,2.83,3.13,3.2,3
M19-00480,1.05,2.5,2.8,3.3,3.5
M20-00230,2.4,2.53,2.6,3.5,2.9
M19-00445,2.15,2.8,2.3,3.5,3.5
M20-00227,1.35,2.5,2.3,3.6,2.6
M20-00197,1.55,2.38,2.3,3.62,3.2
M16-00362,1.95,2.4,2.5,3.9,2.35
M21-00140,1.68,2.78,2.6,4.4,2
